gender,age,wave,date_start,date_end,country,sample,vaccine_yes,vaccine_no,vaccine_dk,vaccine_taken
male,51-60,5,31-Aug-20,13-Sep-20,PH,72,0.596316803,0.207303117,0.196380081,0
female,51-60,5,31-Aug-20,13-Sep-20,PH,58,0.308889572,0.386061566,0.305048862,0
male,20-30,6,14-Sep-20,27-Sep-20,PH,75,0.630698179,0.1110703,0.258231521,0
female,20-30,6,14-Sep-20,27-Sep-20,PH,122,0.380965552,0.232204282,0.386830167,0
male,31-40,6,14-Sep-20,27-Sep-20,PH,60,0.453999888,0.18602501,0.359975102,0
female,31-40,6,14-Sep-20,27-Sep-20,PH,86,0.490899372,0.168016628,0.341084001,0
male,41-50,6,14-Sep-20,27-Sep-20,PH,51,0.589645295,0.211197849,0.199156855,0
female,41-50,6,14-Sep-20,27-Sep-20,PH,37,0.480663066,0.306510621,0.212826313,0
male,51-60,6,14-Sep-20,27-Sep-20,PH,31,0.510193642,0.421771276,0.068035081,0
female,51-60,6,14-Sep-20,27-Sep-20,PH,29,0.329664588,0.359208033,0.311127379,0
male,20-30,7,28-Sep-20,11-Oct-20,PH,195,0.575756293,0.166051102,0.258192605,0
female,20-30,7,28-Sep-20,11-Oct-20,PH,265,0.477324509,0.193480103,0.329195388,0
male,31-40,7,28-Sep-20,11-Oct-20,PH,131,0.579547703,0.201419636,0.219032661,0
female,31-40,7,28-Sep-20,11-Oct-20,PH,179,0.518512054,0.229291794,0.252196152,0
male,41-50,7,28-Sep-20,11-Oct-20,PH,86,0.565868899,0.204014079,0.230117022,0
female,41-50,7,28-Sep-20,11-Oct-20,PH,80,0.338938948,0.3232711,0.337789952,0
male,51-60,7,28-Sep-20,11-Oct-20,PH,88,0.594691921,0.166123855,0.239184225,0
female,51-60,7,28-Sep-20,11-Oct-20,PH,56,0.37521107,0.221220212,0.403568718,0
male,20-30,8,12-Oct-20,25-Oct-20,PH,180,0.580236402,0.182963936,0.236799662,0
female,20-30,8,12-Oct-20,25-Oct-20,PH,290,0.424957466,0.278295625,0.296746909,0
male,31-40,8,12-Oct-20,25-Oct-20,PH,140,0.539772784,0.21007006,0.250157157,0
female,31-40,8,12-Oct-20,25-Oct-20,PH,159,0.466932587,0.220137788,0.312929625,0
male,41-50,8,12-Oct-20,25-Oct-20,PH,102,0.589305368,0.190840557,0.219854075,0
female,41-50,8,12-Oct-20,25-Oct-20,PH,67,0.422020809,0.318758403,0.259220789,0
male,51-60,8,12-Oct-20,25-Oct-20,PH,84,0.434237392,0.269722,0.296040608,0
female,51-60,8,12-Oct-20,25-Oct-20,PH,55,0.394812233,0.181312058,0.423875709,0
male,20-30,9,26-Oct-20,8-Nov-20,PH,75,0.518756982,0.285990165,0.195252854,0
female,20-30,9,26-Oct-20,8-Nov-20,PH,293,0.478148163,0.212624168,0.309227669,0
male,31-40,9,26-Oct-20,8-Nov-20,PH,141,0.602862538,0.199530497,0.197606965,0
female,31-40,9,26-Oct-20,8-Nov-20,PH,165,0.336681354,0.251242541,0.412076104,0
male,41-50,9,26-Oct-20,8-Nov-20,PH,99,0.564196199,0.246299244,0.189504557,0
female,41-50,9,26-Oct-20,8-Nov-20,PH,83,0.356028934,0.334929836,0.309041231,0
male,51-60,9,26-Oct-20,8-Nov-20,PH,81,0.425917736,0.223754254,0.35032801,0
female,51-60,9,26-Oct-20,8-Nov-20,PH,53,0.501697454,0.224216018,0.274086528,0
male,20-30,10,9-Oct-20,22-Nov-20,PH,205,0.571629745,0.186884671,0.241485584,0
female,20-30,10,9-Oct-20,22-Nov-20,PH,298,0.431141733,0.255521635,0.313336633,0
male,31-40,10,9-Oct-20,22-Nov-20,PH,127,0.510854423,0.256664825,0.232480752,0
female,31-40,10,9-Oct-20,22-Nov-20,PH,151,0.444219734,0.234610231,0.321170034,0
male,41-50,10,9-Oct-20,22-Nov-20,PH,87,0.559949879,0.223035554,0.217014568,0
female,41-50,10,9-Oct-20,22-Nov-20,PH,94,0.432177511,0.197269129,0.37055336,0
male,51-60,10,9-Oct-20,22-Nov-20,PH,58,0.502558681,0.277346494,0.220094825,0
female,51-60,10,9-Oct-20,22-Nov-20,PH,62,0.337094943,0.295924631,0.366980426,0
male,20-30,11,23-Nov-20,6-Dec-20,PH,203,0.538973097,0.238832742,0.222194161,0
female,20-30,11,23-Nov-20,6-Dec-20,PH,306,0.457723253,0.22447585,0.317800897,0
male,31-40,11,23-Nov-20,6-Dec-20,PH,134,0.528654027,0.241539337,0.229806635,0
female,31-40,11,23-Nov-20,6-Dec-20,PH,175,0.473859415,0.211698639,0.314441946,0
male,41-50,11,23-Nov-20,6-Dec-20,PH,101,0.520566231,0.223638331,0.255795438,0
female,41-50,11,23-Nov-20,6-Dec-20,PH,95,0.40849412,0.329281535,0.262224345,0
male,51-60,11,23-Nov-20,6-Dec-20,PH,89,0.539123777,0.223173471,0.237702751,0
female,51-60,11,23-Nov-20,6-Dec-20,PH,68,0.428968642,0.240732597,0.330298762,0
male,20-30,12,7-Dec-20,20-Dec-20,PH,212,0.503750694,0.192928048,0.303321258,0
female,20-30,12,7-Dec-20,20-Dec-20,PH,312,0.443197587,0.235370702,0.32143171,0
male,31-40,12,7-Dec-20,20-Dec-20,PH,161,0.561758165,0.158639467,0.279602368,0
female,31-40,12,7-Dec-20,20-Dec-20,PH,171,0.320533396,0.28250388,0.396962724,0
male,41-50,12,7-Dec-20,20-Dec-20,PH,123,0.556192853,0.212329456,0.231477691,0
female,41-50,12,7-Dec-20,20-Dec-20,PH,103,0.352180324,0.340662526,0.307157151,0
male,51-60,12,7-Dec-20,20-Dec-20,PH,98,0.58630074,0.152880492,0.260818768,0
female,51-60,12,7-Dec-20,20-Dec-20,PH,68,0.30174399,0.262520856,0.435735155,0
male,20-30,13,21-Dec-20,3-Jan-21,PH,245,0.512722056,0.225751315,0.261526629,0
female,20-30,13,21-Dec-20,3-Jan-21,PH,362,0.405886597,0.254258438,0.339854965,0
male,31-40,13,21-Dec-20,3-Jan-21,PH,160,0.541839436,0.227645797,0.230514767,0
female,31-40,13,21-Dec-20,3-Jan-21,PH,217,0.44105028,0.250850891,0.308098829,0
male,41-50,13,21-Dec-20,3-Jan-21,PH,127,0.587512459,0.168273402,0.244214139,0
female,41-50,13,21-Dec-20,3-Jan-21,PH,110,0.341244911,0.249377358,0.409377731,0
male,51-60,13,21-Dec-20,3-Jan-21,PH,107,0.610965558,0.186632974,0.202401468,0
female,51-60,13,21-Dec-20,3-Jan-21,PH,74,0.497935228,0.260565455,0.241499317,0
male,20-30,14,4-Jan-21,17-Jan-21,PH,167,0.510799488,0.216578039,0.272622472,0
female,20-30,14,4-Jan-21,17-Jan-21,PH,286,0.395661175,0.26061719,0.343721635,0
male,31-40,14,4-Jan-21,17-Jan-21,PH,168,0.560964118,0.184313993,0.254721889,0
female,31-40,14,4-Jan-21,17-Jan-21,PH,185,0.338421338,0.284926839,0.376651823,0
male,41-50,14,4-Jan-21,17-Jan-21,PH,121,0.612526554,0.184980432,0.202493014,0
female,41-50,14,4-Jan-21,17-Jan-21,PH,86,0.424203171,0.27710541,0.298691419,0
male,51-60,14,4-Jan-21,17-Jan-21,PH,94,0.500392829,0.207491414,0.292115757,0
female,51-60,14,4-Jan-21,17-Jan-21,PH,58,0.304314247,0.365590258,0.330095495,0
male,20-30,15,18-Jan-21,31-Jan-21,PH,199,0.498915391,0.163836207,0.32249362,0.014754782
female,20-30,15,18-Jan-21,31-Jan-21,PH,302,0.342103269,0.281858406,0.376038325,0
male,31-40,15,18-Jan-21,31-Jan-21,PH,171,0.519080945,0.236131931,0.233806436,0.010980688
female,31-40,15,18-Jan-21,31-Jan-21,PH,201,0.355669358,0.301952779,0.334944286,0.007433577
male,41-50,15,18-Jan-21,31-Jan-21,PH,122,0.542287131,0.180972534,0.276740335,0
female,41-50,15,18-Jan-21,31-Jan-21,PH,97,0.415864867,0.231593602,0.352541531,0
male,51-60,15,18-Jan-21,31-Jan-21,PH,109,0.496585974,0.209578288,0.27848295,0.015352788
female,51-60,15,18-Jan-21,31-Jan-21,PH,73,0.338194411,0.313817857,0.347987731,0
male,20-30,16,1-Feb-21,14-Feb-21,PH,208,0.507644943,0.196051826,0.296303231,0
female,20-30,16,1-Feb-21,14-Feb-21,PH,287,0.356276478,0.284241474,0.35511385,0.004368198
male,31-40,16,1-Feb-21,14-Feb-21,PH,169,0.542808953,0.186298344,0.26236964,0.008523063
female,31-40,16,1-Feb-21,14-Feb-21,PH,213,0.290825795,0.266316738,0.431085961,0.011771506
male,41-50,16,1-Feb-21,14-Feb-21,PH,113,0.542889787,0.186225672,0.270884541,0
female,41-50,16,1-Feb-21,14-Feb-21,PH,100,0.401651419,0.200160068,0.39305429,0.005134223
male,51-60,16,1-Feb-21,14-Feb-21,PH,105,0.503266997,0.215655163,0.28107784,0
female,51-60,16,1-Feb-21,14-Feb-21,PH,74,0.420163989,0.224329913,0.355506098,0
male,20-30,17,15-Feb-21,28-Feb-21,PH,191,0.482687798,0.197890394,0.304048608,0.0153732
female,20-30,17,15-Feb-21,28-Feb-21,PH,300,0.312344003,0.297527844,0.390128153,0
male,31-40,17,15-Feb-21,28-Feb-21,PH,156,0.497779549,0.203722244,0.298498207,0
female,31-40,17,15-Feb-21,28-Feb-21,PH,171,0.328778548,0.317525836,0.353695617,0
male,41-50,17,15-Feb-21,28-Feb-21,PH,151,0.630383636,0.159860369,0.202491797,0.007264197
female,41-50,17,15-Feb-21,28-Feb-21,PH,122,0.333288562,0.270803061,0.39320442,0.002703957
male,51-60,17,15-Feb-21,28-Feb-21,PH,108,0.518335828,0.227319693,0.254344479,0
female,51-60,17,15-Feb-21,28-Feb-21,PH,88,0.324837675,0.228340844,0.446821482,0
male,20-30,18,1-Mar-21,14-Mar-21,PH,161,0.49003631,0.238901295,0.265612999,0.005449397
female,20-30,18,1-Mar-21,14-Mar-21,PH,287,0.422352488,0.247012823,0.325748833,0.004885857
male,31-40,18,1-Mar-21,14-Mar-21,PH,156,0.613652809,0.157386621,0.215005999,0.013954571
female,31-40,18,1-Mar-21,14-Mar-21,PH,180,0.419932903,0.246181453,0.33093995,0.002945694
male,41-50,18,1-Mar-21,14-Mar-21,PH,148,0.657345612,0.160096864,0.166857455,0.015700069
female,41-50,18,1-Mar-21,14-Mar-21,PH,123,0.545018217,0.135090566,0.317510862,0.002380354
male,51-60,18,1-Mar-21,14-Mar-21,PH,108,0.620285086,0.17802802,0.190277424,0.011409469
female,51-60,18,1-Mar-21,14-Mar-21,PH,85,0.597103431,0.145237628,0.257658941,0
male,20-30,19,15-Mar-21,28-Mar-21,PH,173,0.534217149,0.168915969,0.276907867,0.019959015
female,20-30,19,15-Mar-21,28-Mar-21,PH,264,0.344226042,0.239309737,0.390757163,0.025707058
male,31-40,19,15-Mar-21,28-Mar-21,PH,142,0.577134121,0.199318414,0.205343859,0.018203606
female,31-40,19,15-Mar-21,28-Mar-21,PH,181,0.431084309,0.232754125,0.30539763,0.030763936
male,41-50,19,15-Mar-21,28-Mar-21,PH,111,0.637593865,0.177275478,0.154033745,0.031096913
female,41-50,19,15-Mar-21,28-Mar-21,PH,105,0.480085295,0.22263955,0.262543583,0.034731571
male,51-60,19,15-Mar-21,28-Mar-21,PH,97,0.756351709,0.11375125,0.119376145,0.010520896
female,51-60,19,15-Mar-21,28-Mar-21,PH,72,0.430896891,0.240284329,0.282885189,0.045933591

